country,first quintile,second quintile,third quintile,fourth quintile,fifth quintile
Austria,10.2,6.9,4.5,3.3,2.7
Belgium,16.2,10.1,11.5,7.5,5.2
Bulgaria,9.8,6.9,4.1,3.7,1.9
Croatia,13.5,16.3,10.4,7.1,4.9
Cyprus,5.3,3,1.8,1.7,1.1
Czechia,8.1,4.7,4.6,2.4,1.4
Denmark,14.6,8.1,6.6,5.2,4.5
Estonia,14.8,11.6,7.6,3.9,4.1
Finland,10.2,8.5,5.3,4.5,3.5
France,16.3,12.3,9.9,7.7,7
Germany,16.2,10.6,8.9,5.7,4.6
Greece,4.9,3.4,2.7,1.5,0.4
Hungary,9.4,5.7,5.4,3.3,3.2
Ireland,9.7,6.3,3.8,2.1,2.5
Italy,5.1,4.6,4.5,3.8,3.2
Latvia,11.4,6.7,3.9,2.9,3.3
Lithuania,12.5,8.1,5.6,2.9,1.5
Luxembourg,14.5,11.1,6.5,6,3.9
Malta,13.3,10.3,9,7.6,5.5
Netherlands,10.5,14,7,6.1,5.3
Poland,10.7,7.4,4.8,3.6,3.2
Portugal,10.5,12.2,7.6,7.1,4.5
Romania,6.5,5.6,4.1,3.7,1.2
Slovakia,5.1,4.7,2.2,2.4,1.7
Slovenia,12.6,9.6,6.7,6.1,5.3
Spain,6.2,5.7,4.9,4.1,3.2
Sweden,18.6,13.7,10,8.7,6.1
